"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","BCI EvaluationTopic Extension","The base class, independent of context for evaluations (measurements, tests, or questions) and a value containing the result (answer). The subject of a finding can be the entire patient, or an entity such as a location body structure, intervention, or condition. Things observed about the subject can include social and behavioral factors, subjective and objective observations, and assessments.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}choice-1:finding-EvaluationTopic-extension SHALL have either extension('quantity') or extension('codeableconcept') or extension('string') or extension('boolean') or extension('range') or extension('ratio') or extension('attachment') or extension('time') or extension('datetime') or extension('timeperiod') or extension('integerquantity') {( extension('quantity').url | extension('codeableconcept').url | extension('string').url | extension('boolean').url | extension('range').url | extension('ratio').url | extension('attachment').url | extension('time').url | extension('datetime').url | extension('timeperiod').url | extension('integerquantity').url ).distinct().count() <= 1}"
"Extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Category-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/observation-category","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","focus","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-Focus-extension}
","","The specific observed aspect of the Subject under consideration, potentially a specific condition, intervention, activity, body structure, or environmental factor. For use when the observation is not the Subject as a whole. An example would be an observation related to the Subject's bipolar disorder.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","evaluationmethod","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-EvaluationMethod-extension}
","","The technique used to create the finding, for example, the specific imaging technical, lab test code, or assessment vehicle.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","bodysite","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/entity-BodySite-extension}
","","A location or structure in the body, including tissues, regions, cavities, and spaces, for example, right elbow, or left ventricle of the heart.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","deltaflag","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-DeltaFlag-extension}
","","Indicator of significant change (delta) from the last or previous measurement.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","details","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/shr-core-Details-extension}
","","An text note containing additional details, explanation, description, comment, or summarization. Details can discuss, support, explain changes to, or dispute information.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","interpretation","","",0,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-Interpretation-extension}
","","A clinical interpretation of a finding.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","precondition","","",0,*,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-Precondition-extension}
","","A description of the conditions or context of an observation, for example, under sedation, fasting or post-exercise. Body position and body site are also qualifiers, but handled separately. A qualifier cannot modify the measurement type; for example, a fasting blood sugar is still a blood sugar.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","referencerange","","",0,*,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-ReferenceRange-extension}
","","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","evaluationcomponent","","",0,*,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-EvaluationComponent-extension}
","","A simplified, non-separable evaluation consisting of a finding code (represented by the Concept), value (or exception value), reference range, and interpretation. The subject of the evaluation component is the same as in the parent evaluation.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","members","","",1,1,"","","","Extension {http://hl7.org/fhir/us/bci/StructureDefinition/finding-Members-extension}
","","Members represent the elements of a group of a related but independent evaluations. Examples are the measurements that compose a complete blood count (CBC), or the elements of a pathology report. Each member is an independent evaluation, but the grouping reflects a composite lab order, shared specimen, or a single report author. Typically the Category and Reason are not given for individual findings that are part of the panel, but rather given at the level of the panel itself.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/us/bci/StructureDefinition/finding-EvaluationTopic-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",0,0,"","","","base64Binary
booleancodedatedateTimedecimalidinstantintegermarkdownoidpositiveIntstringtimeunsignedInturiAddressAgeAnnotationAttachmentCodeableConceptCodingContactPointCountDistanceDurationHumanNameIdentifierMoneyPeriodQuantityRangeRatioReferenceSampledDataSignatureTimingMeta","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
